ticket_id,class,luggage_weight,client_id,flight_id
234,0,18.4,53,473
235,1,5.6,42,717
236,2,19.5,973,156
237,2,3.7,563,647
238,1,22.3,882,716
239,1,19.1,423,780
240,0,25.9,739,333
241,1,27.5,992,574
242,0,23.3,980,107
243,1,7.8,114,493
244,0,10.4,499,789
245,2,35.0,735,205
246,0,9.9,4,31
247,0,36.6,158,1000
248,1,2.9,928,181
249,1,7.9,221,772
250,0,3.9,871,722
251,2,28.9,999,701
252,0,36.0,698,711
253,1,19.5,966,811
254,0,22.6,569,93
255,0,29.1,117,70
256,2,6.8,891,528
257,2,19.7,332,766
258,2,4.8,626,924
259,0,8.6,798,526
260,1,16.9,555,725
261,1,5.0,853,582
262,0,18.5,771,345
263,2,18.7,148,749
264,1,37.5,526,148
265,0,32.0,272,115
266,2,0.0,687,152
267,0,2.3,222,405
268,0,36.5,271,849
269,2,10.6,328,957
270,1,9.1,605,316
271,2,26.6,670,629
272,1,38.7,50,730
273,0,31.5,611,838
274,2,26.5,414,455
275,1,35.9,751,244
276,0,23.7,441,627
277,1,26.2,591,177
278,1,9.7,398,484
279,0,33.9,487,161
280,2,16.2,873,525
281,0,34.2,260,449
282,1,28.2,453,118
283,1,5.0,175,928
284,1,15.6,873,994
285,1,10.1,984,782
286,2,2.4,490,37
287,1,8.9,106,84
288,0,3.5,963,332
289,2,11.7,68,666
290,0,36.7,4,83
291,0,21.6,155,547
292,0,37.0,5,446
293,0,17.1,794,8
294,0,15.0,281,539
295,2,23.1,76,86
296,2,35.1,322,859
297,2,20.1,757,445
298,1,26.7,829,785
299,0,31.9,831,15
300,1,37.9,953,540
301,0,9.2,428,722
302,0,38.5,155,353
303,1,6.6,442,560
304,0,0.4,809,10
305,0,33.2,798,929
306,1,21.1,733,383
307,2,34.8,287,4
308,0,17.6,788,477
309,1,7.1,778,746
310,1,26.9,183,316
311,2,6.3,794,482
312,1,26.3,958,426
313,2,20.6,630,356
314,1,4.5,600,99
315,0,16.6,260,86
316,1,31.8,832,234
317,0,6.5,857,203
318,0,25.4,734,828
319,0,29.4,510,403
320,1,36.8,103,587
321,0,30.2,611,551
322,2,8.1,195,403
323,2,7.4,106,572
324,2,35.6,899,328
325,0,21.4,240,615
326,0,21.6,557,711
327,2,39.4,511,228
328,0,7.7,504,870
329,1,25.0,972,668
330,0,4.3,29,266
331,1,19.6,100,850
332,0,8.1,177,465
333,0,28.3,957,693
334,1,33.7,997,21
335,2,22.3,432,285
336,1,16.0,345,661
337,1,25.9,627,89
338,2,19.2,389,361
339,2,32.5,883,852
340,2,27.8,30,55
341,0,15.9,815,726
342,1,0.4,886,844
343,2,25.9,395,417
344,0,28.9,696,523
345,2,17.2,387,929
346,0,39.7,468,686
347,2,35.8,431,772
348,2,28.5,179,895
349,2,27.9,939,432
350,2,22.2,162,972
351,2,5.5,285,158
352,1,8.5,435,785
353,2,4.0,261,354
354,2,39.8,589,430
355,0,9.0,690,214
356,0,25.0,688,379
357,1,19.5,25,243
358,2,39.1,192,135
359,2,10.5,947,903
360,2,32.6,685,907
361,1,5.1,982,532
362,0,13.4,11,127
363,1,16.2,295,370
364,1,26.0,124,711
365,0,24.7,403,543
366,2,36.1,234,232
367,1,25.9,789,515
368,0,1.9,908,114
369,2,4.4,352,856
370,1,12.8,248,443
371,1,37.6,459,92
372,0,24.8,232,502
373,2,27.3,978,197
374,0,14.1,404,596
375,1,6.1,549,835
376,2,4.9,753,18
377,2,10.6,631,954
378,0,23.9,587,653
379,0,16.7,746,683
380,2,2.9,607,198
381,2,6.2,537,451
382,1,1.6,959,382
383,1,31.4,601,200
384,0,39.0,483,794
385,2,31.3,623,361
386,2,0.5,400,298
387,0,28.6,234,484
388,2,22.4,672,471
389,1,4.9,71,701
390,2,2.8,901,261
391,0,10.7,489,701
392,1,28.4,998,533
393,1,13.4,105,764
394,1,10.1,654,311
395,2,0.3,894,832
396,1,6.5,958,189
397,1,10.2,7,894
398,0,17.6,779,12
399,2,28.1,939,163
400,0,5.2,779,16
401,2,20.4,893,278
402,1,30.9,179,757
403,2,6.0,647,510
404,1,9.6,899,397
405,1,31.4,367,802
406,0,15.6,391,920
407,1,29.4,860,66
408,1,3.1,990,838
409,2,30.7,851,481
410,1,23.6,133,186
411,2,12.4,48,707
412,0,14.3,952,372
413,0,1.8,781,653
414,2,26.9,299,136
415,0,18.1,687,35
416,1,5.3,573,573
417,1,32.9,411,919
418,2,6.3,146,32
419,0,16.2,124,380
420,1,2.2,36,164
421,2,14.3,827,875
422,2,26.4,501,514
423,2,27.0,943,264
424,2,22.4,975,741
425,2,33.5,25,523
426,2,24.4,527,460
427,1,26.7,803,289
428,2,0.2,185,23
429,0,10.4,634,263
430,2,33.6,435,503
431,1,3.3,505,39
432,1,35.9,836,718
433,1,15.9,978,400
434,2,16.1,282,242
435,0,1.4,890,139
436,1,1.1,106,662
437,1,37.8,552,559
438,0,33.8,385,303
439,2,7.6,116,772
440,0,37.0,21,614
441,1,33.9,193,810
442,1,30.7,835,446
443,0,18.6,22,564
444,2,33.7,832,92
445,0,18.4,5,10
446,0,13.2,389,409
447,0,22.4,624,32
448,1,29.1,500,940
449,0,18.3,115,478
450,2,28.1,333,451
451,1,25.8,327,568
452,1,21.6,991,612
453,2,30.0,241,438
454,0,15.5,465,677
455,1,26.2,325,727
456,0,32.3,436,59
457,0,39.0,753,290
458,1,26.5,662,895
459,2,35.1,517,448
460,1,6.5,214,50
461,2,39.8,855,491
462,2,38.3,219,589
463,2,21.5,583,277
464,0,40.0,292,628
465,2,7.1,331,672
466,0,11.2,249,493
467,1,10.0,367,26
468,2,39.2,366,8
469,0,21.0,797,214
470,1,35.9,98,942
471,2,24.2,144,398
472,1,14.4,691,966
473,0,30.5,179,486
474,0,24.2,784,758
475,1,16.3,351,586
476,1,4.0,741,156
477,1,9.3,939,892
478,0,11.6,179,664
479,2,8.0,629,790
480,2,19.1,314,992
481,2,13.4,725,50
482,0,3.7,403,55
483,2,30.8,265,297
484,0,27.8,529,44
485,2,29.3,240,38
486,0,8.9,584,331
487,2,31.9,163,61
488,2,39.5,426,411
489,0,12.0,324,219
490,1,37.9,125,125
491,1,17.2,423,20
492,0,2.2,319,879
493,1,23.4,256,998
494,0,23.8,347,642
495,1,27.4,341,315
496,0,35.5,676,579
497,2,8.9,681,584
498,1,2.4,681,847
499,1,27.4,399,414
500,0,28.1,911,805
501,0,37.5,608,223
502,2,28.2,857,228
503,1,7.4,724,95
504,0,32.6,307,35
505,1,22.2,319,127
506,0,37.5,127,530
507,2,6.7,983,138
508,2,28.2,934,420
509,1,20.8,626,288
510,2,27.2,890,25
511,1,15.6,167,756
512,1,1.9,939,88
513,2,3.4,699,748
514,2,6.0,32,76
515,0,2.0,190,549
516,0,37.7,572,278
517,2,13.9,869,724
518,1,2.6,976,745
519,0,30.0,740,313
520,1,25.1,633,219
521,1,14.6,919,733
522,1,9.3,748,44
523,2,10.0,844,686
524,2,17.6,990,620
525,2,17.1,985,63
526,2,37.4,245,771
527,0,14.6,776,466
528,2,18.9,332,777
529,2,4.9,411,714
530,0,22.9,387,914
531,1,19.2,943,499
532,1,3.2,997,888
533,0,23.8,735,163
534,1,2.9,575,410
535,1,16.7,760,976
536,0,22.9,734,9
537,0,23.4,181,888
538,0,16.5,611,142
539,1,5.8,992,411
540,0,9.9,125,305
541,0,24.7,341,657
542,0,11.0,836,791
543,0,27.3,33,119
544,2,23.9,786,635
545,1,33.7,405,874
546,0,11.3,845,247
547,2,27.5,378,489
548,0,16.7,740,284
549,1,9.2,912,840
550,2,14.7,474,684
551,1,13.5,826,980
552,2,27.8,506,807
553,2,4.4,962,131
554,0,13.3,501,639
555,1,2.2,214,565
556,0,25.7,248,208
557,0,17.5,367,572
558,2,30.8,376,342
559,2,0.9,481,159
560,2,1.2,438,496
561,2,28.4,326,932
562,0,13.1,433,37
563,2,20.8,520,476
564,0,16.6,737,664
565,2,39.7,14,37
566,2,29.9,548,860
567,1,23.0,735,422
568,1,6.7,81,272
569,0,17.8,431,750
570,1,39.4,374,466
571,0,39.5,253,611
572,0,20.5,118,215
573,0,28.3,901,92
574,0,10.0,742,191
575,1,34.8,143,327
576,0,18.0,621,510
577,1,33.0,868,665
578,0,15.0,582,492
579,1,19.6,783,774
580,1,36.0,198,252
581,2,28.6,650,138
582,0,31.4,224,962
583,2,10.7,398,245
584,1,22.3,480,823
585,2,21.0,626,394
586,1,30.6,669,129
587,0,6.6,73,315
588,1,20.4,985,536
589,2,4.9,643,965
590,2,26.7,280,95
591,0,24.7,878,851
592,0,6.2,632,68
593,0,35.4,988,462
594,0,39.0,687,792
595,0,26.1,527,209
596,1,20.5,662,300
597,1,22.1,302,769
598,2,2.4,785,198
599,0,22.6,166,535
600,1,18.1,649,43
601,0,30.6,292,288
602,0,17.5,769,590
603,0,9.4,195,876
604,1,25.2,671,364
605,0,4.0,156,433
606,0,16.0,570,224
607,0,5.9,910,833
608,0,0.0,720,387
609,1,35.6,206,863
610,1,19.6,956,930
611,0,8.9,196,970
612,1,13.7,99,682
613,1,19.0,413,843
614,2,25.8,450,885
615,1,7.4,361,298
616,2,34.6,14,391
617,2,26.9,326,175
618,1,31.2,536,571
619,2,18.5,231,511
620,0,26.5,455,321
621,2,26.5,159,969
622,1,2.5,992,605
623,0,15.1,607,989
624,2,12.3,727,875
625,1,31.0,801,62
626,0,17.8,418,743
627,0,17.0,356,45
628,1,28.5,464,39
629,1,5.9,389,478
630,2,28.0,353,956
631,2,17.3,572,452
632,2,25.3,242,380
633,2,1.7,516,620
634,2,39.2,340,972
635,0,10.2,918,261
636,0,3.7,514,179
637,2,36.1,474,434
638,0,4.6,876,898
639,1,30.5,942,200
640,1,11.4,800,391
641,2,34.7,124,201
642,1,32.2,474,13
643,2,5.0,714,896
644,0,16.0,831,366
645,2,10.3,356,397
646,2,20.6,805,519
647,1,9.4,148,445
648,2,28.4,5,810
649,1,0.1,291,160
650,0,29.3,880,898
651,0,25.5,389,190
652,0,33.6,867,113
653,0,11.7,528,452
654,1,15.0,710,181
655,2,8.0,487,775
656,1,29.4,804,611
657,2,37.3,744,619
658,0,16.3,980,608
659,2,7.4,949,528
660,2,14.1,655,962
661,1,19.8,623,12
662,2,37.5,254,361
663,2,20.9,626,219
664,0,29.5,99,73
665,2,13.1,274,976
666,0,6.9,617,464
667,1,39.9,561,626
668,2,7.2,823,995
669,0,6.9,21,590
670,0,32.1,208,168
671,2,31.2,787,92
672,2,37.3,671,868
673,1,20.5,938,661
674,0,31.7,727,645
675,1,22.5,962,707
676,0,10.8,20,743
677,1,9.0,117,927
678,1,4.1,708,413
679,2,16.7,980,300
680,2,27.5,667,110
681,2,4.2,833,919
682,2,36.7,815,542
683,1,33.6,383,182
684,1,14.0,543,911
685,0,0.1,38,713
686,0,28.1,116,489
687,1,18.0,973,880
688,2,15.1,186,289
689,2,21.7,950,190
690,2,15.9,818,737
691,2,8.0,112,412
692,1,11.2,931,710
693,1,33.4,373,83
694,1,33.6,34,373
695,2,27.4,252,421
696,1,34.6,709,115
697,0,9.6,24,246
698,0,12.5,580,739
699,0,33.7,275,726
700,1,20.8,894,916
701,0,26.2,337,36
702,2,27.8,80,92
703,1,19.0,171,810
704,2,33.4,573,398
705,1,28.6,276,892
706,0,25.2,219,472
707,1,3.6,23,471
708,0,15.1,695,453
709,0,1.9,698,983
710,0,24.3,503,316
711,0,20.5,36,551
712,1,0.8,64,446
713,1,28.8,544,472
714,2,11.9,311,416
715,1,6.1,971,218
716,0,11.8,545,746
717,2,36.6,377,835
718,0,4.7,745,637
719,1,4.6,655,804
720,0,24.8,660,932
721,0,24.0,524,388
722,1,31.7,813,701
723,1,31.9,755,363
724,0,26.7,376,738
725,1,3.0,960,678
726,2,1.1,953,829
727,1,11.0,187,139
728,1,11.7,348,990
729,0,23.7,916,239
730,1,11.8,628,939
731,1,30.8,783,444
732,0,8.4,240,987
733,0,2.3,221,870
734,0,36.6,400,505
735,2,12.2,318,902
736,1,31.3,649,666
737,1,16.0,69,754
738,0,3.7,980,872
739,0,30.6,775,751
740,2,23.5,674,856
741,0,38.6,467,421
742,1,2.2,996,396
743,0,2.1,675,184
744,0,37.4,383,72
745,1,6.1,965,401
746,1,30.4,934,783
747,2,16.7,575,589
748,1,16.1,761,942
749,0,32.2,839,974
750,0,28.8,839,158
751,0,25.4,368,475
752,1,13.7,27,591
753,0,21.3,889,731
754,2,33.3,294,49
755,2,19.1,630,702
756,1,23.5,824,985
757,0,2.6,810,663
758,2,20.3,315,494
759,0,18.7,436,867
760,1,32.5,246,734
761,0,16.7,872,988
762,1,13.5,673,888
763,1,25.1,751,229
764,1,17.9,163,987
765,1,9.0,240,149
766,1,31.9,706,383
767,0,35.3,60,75
768,0,0.3,391,917
769,1,12.2,815,559
770,0,17.9,731,436
771,1,34.4,333,823
772,1,5.7,468,15
773,0,25.9,940,88
774,2,13.3,286,28
775,0,9.3,64,306
776,2,28.5,118,565
777,0,5.6,509,368
778,1,35.5,833,72
779,2,27.8,280,594
780,0,0.5,369,480
781,0,17.7,367,538
782,0,3.9,183,575
783,1,14.4,700,764
784,1,14.6,146,915
785,2,34.7,798,875
786,2,22.3,445,432
787,0,18.7,423,715
788,2,6.9,503,925
789,1,24.4,378,838
790,2,10.8,873,666
791,2,24.6,297,538
792,1,29.6,249,131
793,2,15.6,427,138
794,2,11.2,447,814
795,1,29.1,324,381
796,0,9.7,622,196
797,1,17.8,460,558
798,2,30.4,447,945
799,2,0.2,885,235
800,0,6.9,757,227
801,1,14.7,32,570
802,2,18.5,234,441
803,2,20.4,121,775
804,1,0.3,801,992
805,1,7.8,957,617
806,2,2.4,760,129
807,0,26.3,681,667
808,0,26.4,355,869
809,2,32.6,75,542
810,0,39.9,527,801
811,0,22.8,780,935
812,2,30.7,158,942
813,0,29.9,952,580
814,2,4.4,61,798
815,1,35.5,184,945
816,0,6.5,704,3
817,1,31.7,728,468
818,1,8.9,944,217
819,2,38.6,34,51
820,1,23.9,540,716
821,1,2.9,363,388
822,0,11.0,697,341
823,0,23.6,386,501
824,2,35.0,907,857
825,2,16.9,403,371
826,2,32.2,250,127
827,1,10.0,80,689
828,1,24.9,669,149
829,2,0.0,720,608
830,1,17.3,743,519
831,2,30.8,877,922
832,2,29.1,858,448
833,0,6.0,512,479
834,0,3.2,642,690
835,2,36.0,885,480
836,2,20.3,926,785
837,0,22.7,258,584
838,0,23.1,276,900
839,0,28.7,811,950
840,1,11.0,491,10
841,0,35.9,558,18
842,0,6.1,585,617
843,0,18.6,15,46
844,2,39.7,546,381
845,0,26.4,110,252
846,2,13.2,945,962
847,0,6.4,51,37
848,1,37.5,950,646
849,1,18.8,691,30
850,0,33.7,776,338
851,2,23.1,442,672
852,1,25.7,429,7
853,2,20.1,820,922
854,0,5.5,888,526
855,0,12.8,770,420
856,0,28.6,330,932
857,0,11.2,447,328
858,2,34.5,810,807
859,2,18.4,197,573
860,0,18.0,408,173
861,0,27.3,887,570
862,0,30.2,974,488
863,0,10.2,259,696
864,0,39.7,126,38
865,0,2.1,465,1000
866,1,0.2,198,449
867,1,35.0,229,245
868,0,27.9,650,699
869,2,30.7,690,159
870,2,34.9,861,344
871,1,20.4,188,343
872,0,31.7,802,938
873,2,36.8,999,109
874,0,4.7,942,344
875,1,18.8,193,683
876,1,13.5,266,93
877,0,0.3,905,913
878,0,6.3,186,445
879,0,8.1,857,376
880,1,19.7,811,476
881,0,10.4,516,261
882,1,32.6,403,82
883,0,14.8,314,357
884,2,17.8,720,291
885,2,4.2,990,423
886,1,33.3,898,362
887,1,4.0,38,202
888,2,1.1,126,418
889,2,32.2,273,268
890,0,7.7,563,503
891,1,0.0,204,349
892,0,27.7,575,68
893,1,22.9,91,667
894,2,7.9,202,835
895,1,35.8,387,292
896,0,18.2,792,288
897,0,2.3,340,151
898,1,28.2,885,505
899,1,20.2,656,926
900,2,7.2,730,636
901,0,18.6,448,799
902,2,32.2,38,248
903,0,11.5,439,710
904,0,35.4,571,688
905,1,9.9,292,888
906,2,7.8,866,825
907,2,34.5,909,95
908,0,26.1,384,389
909,2,8.1,884,367
910,2,9.0,79,151
911,1,5.5,772,788
912,2,0.5,583,205
913,2,26.1,579,482
914,2,9.4,146,986
915,0,5.1,707,525
916,1,39.2,587,436
917,1,32.7,282,344
918,0,36.4,751,864
919,2,22.4,303,752
920,1,32.8,46,613
921,0,14.2,126,842
922,1,1.1,12,233
923,2,9.0,800,599
924,1,28.0,590,352
925,2,32.6,825,296
926,2,8.2,771,798
927,0,34.8,424,260
928,1,38.6,955,369
929,1,15.2,348,400
930,2,1.9,776,811
931,0,25.4,3,197
932,0,12.7,471,875
933,1,34.5,898,325
934,1,7.9,699,94
935,2,32.6,457,819
936,2,25.2,127,677
937,0,17.1,339,178
938,2,33.4,651,89
939,0,0.0,974,663
940,1,22.5,385,354
941,2,1.7,35,157
942,2,25.3,45,967
943,0,18.1,192,503
944,0,23.6,586,941
945,1,26.2,951,201
946,0,16.4,283,523
947,1,32.3,445,159
948,2,22.2,714,785
949,1,16.2,197,553
950,0,37.4,609,512
951,1,38.0,127,342
952,1,2.9,794,155
953,0,5.5,701,800
954,0,11.4,657,378
955,0,23.9,482,389
956,2,36.4,1,548
957,1,0.9,680,74
958,0,38.1,197,957
959,2,14.6,427,754
960,1,39.1,1,661
961,1,10.8,634,35
962,2,19.3,313,23
963,0,25.0,227,960
964,0,39.8,590,642
965,0,5.0,805,672
966,1,8.3,670,795
967,1,37.2,244,35
968,0,19.0,467,376
969,0,38.0,117,355
970,0,23.9,410,526
971,0,30.5,796,843
972,1,39.2,821,237
973,0,4.5,953,435
974,0,26.7,213,58
975,0,28.9,42,891
976,2,30.0,419,260
977,0,39.5,321,148
978,2,1.6,542,762
979,2,11.1,237,579
980,2,8.0,454,310
981,1,8.7,248,443
982,0,8.4,488,977
983,1,22.2,944,675
984,2,6.9,394,264
985,1,8.5,546,579
986,1,16.8,467,969
987,2,14.2,126,87
988,1,30.0,380,796
989,1,1.3,558,885
990,1,16.0,136,532
991,1,19.1,139,18
992,2,22.6,91,677
993,2,17.2,96,236
994,0,26.7,681,602
995,1,3.4,576,645
996,2,15.5,72,543
997,0,12.0,918,592
998,1,13.3,212,6
999,2,33.4,175,836
1000,0,31.0,931,257
1001,1,37.6,1903,450
1002,0,30.8,1264,299
1003,0,28.0,1812,536
1004,1,6.7,1551,857
1005,0,3.8,1129,759
1006,2,22.4,1085,252
1007,1,5.4,1263,775
1008,0,24.4,1099,745
1009,2,32.7,1321,596
1010,2,24.3,1537,583
1011,1,4.7,1458,698
1012,1,37.5,1438,863
1013,1,37.4,1527,448
1014,0,15.9,1489,737
1015,2,30.0,1378,426
1016,0,35.8,1171,978
1017,1,1.4,1987,466
1018,0,28.3,1971,644
1019,0,27.2,1538,206
1020,1,20.4,1694,547
1021,2,9.1,1322,880
1022,2,21.6,1477,680
1023,1,26.8,1615,201
1024,2,13.4,1269,670
1025,1,23.1,1621,575
1026,2,15.8,1285,178
1027,1,37.9,1994,545
1028,0,29.9,1197,257
1029,0,14.3,1963,58
1030,2,19.2,1315,260
1031,1,13.5,1027,760
1032,2,33.0,1281,435
1033,0,32.1,1184,529
1034,0,1.5,1609,191
1035,2,30.8,1486,876
1036,2,9.4,1367,24
1037,1,19.2,1548,604
1038,1,32.5,1401,202
1039,0,39.9,1513,182
1040,1,10.3,1036,133
1041,1,6.8,1631,827
1042,2,17.8,1545,745
1043,2,36.8,1926,138
1044,2,27.5,1970,26
1045,2,37.2,1139,779
1046,2,17.1,1225,939
1047,1,18.9,1730,877
1048,0,39.3,1928,660
1049,2,31.4,1451,287
1050,2,25.0,1594,540
1051,0,29.8,1028,943
1052,2,39.3,1309,364
1053,2,1.7,1737,595
1054,2,19.8,1548,789
1055,1,10.6,1391,72
1056,2,18.6,1111,204
1057,0,0.5,1410,628
1058,0,36.0,1381,870
1059,1,11.7,1928,897
1060,1,13.1,1022,849
1061,0,38.3,1273,880
1062,0,13.8,1686,645
1063,2,29.2,1206,281
1064,1,8.3,1406,796
1065,0,17.2,1167,719
1066,0,24.6,1041,484
1067,0,39.1,1938,414
1068,1,35.9,1941,926
1069,1,23.7,1245,206
1070,2,15.5,1489,223
1071,1,26.5,1020,35
1072,2,37.1,1599,197
1073,0,36.7,1937,869
1074,1,31.1,1312,724
1075,1,24.3,1664,24
1076,1,38.5,1910,969
1077,1,6.3,1886,741
1078,1,19.3,1489,363
1079,1,35.5,1964,546
1080,1,15.0,1928,497
1081,1,22.2,1874,589
1082,1,29.0,1025,263
1083,2,9.5,1140,893
1084,0,37.8,1771,611
1085,1,10.8,1068,748
1086,0,13.4,1759,127
1087,2,1.2,1006,597
1088,1,17.2,1467,574
1089,0,26.9,1944,919
1090,2,33.9,1116,201
1091,0,20.5,1340,190
1092,1,20.5,1332,900
1093,0,37.7,1871,226
1094,2,18.0,1317,816
1095,2,18.4,1218,114
1096,1,38.3,1782,884
1097,2,18.5,1808,182
1098,0,30.6,1296,717
1099,0,15.2,1743,863
1100,1,2.0,1017,355
1101,2,26.8,1437,762
1102,2,1.5,1324,812
1103,2,1.8,1739,394
1104,2,32.0,1585,432
1105,2,38.9,1776,980
1106,2,6.4,1681,772
1107,2,33.6,1881,661
1108,1,19.6,1934,900
1109,2,36.8,1792,139
1110,2,19.7,1186,397
1111,0,29.0,1315,875
1112,1,18.4,1910,781
1113,0,30.6,1554,702
1114,1,21.0,1614,925
1115,0,6.9,1293,773
1116,0,26.8,1325,130
1117,0,10.2,1944,535
1118,2,8.5,1162,953
1119,0,35.3,1057,63
1120,2,31.4,1752,56
1121,2,0.9,1429,530
1122,0,23.8,1176,265
1123,1,17.7,1258,648
1124,1,36.3,1107,891
1125,1,8.5,1033,797
1126,2,20.5,1266,474
1127,2,0.3,1729,651
1128,0,1.9,1614,807
1129,0,32.4,1595,792
1130,1,2.2,1926,843
1131,2,33.1,1106,697
1132,0,30.9,1299,603
1133,0,7.0,1258,132
1134,1,38.8,1122,679
1135,2,3.0,1938,309
1136,2,6.5,1749,711
1137,0,11.5,1680,910
1138,1,29.1,1829,407
1139,0,29.9,1336,153
