ticket_id,client_id,flight_id,class,luggage_weight,price
190,2563,635,0,27.65,1998.0
191,632,1774,1,5.55,3094.2
192,1218,1771,0,15.17,2059.2
193,9143,1233,0,16.05,2057.1
194,9933,1734,0,29.09,1918.2
195,3465,65,2,7.25,2510.1
196,4072,1948,0,9.17,1998.0
197,7846,1072,2,9.82,545.4
198,6843,312,1,11.17,436.32
199,210,818,2,39.96,4019.85
200,4775,1055,2,3.43,3191.85
201,8353,1793,0,38.56,1673.4
202,3050,211,1,25.57,474.48
203,7456,1153,0,37.1,1753.5
204,3814,467,1,25.93,492.48
205,9107,1412,0,21.76,331.5
206,3524,782,2,12.67,593.1
207,744,1729,2,32.1,287.55
208,1000,116,0,20.54,355.5
209,9010,1465,0,31.0,2804.7
210,4292,465,1,7.27,335.88
211,4533,624,2,18.61,233.1
212,5602,460,1,18.6,3654.72
213,3793,384,1,35.16,2104.2
214,4556,369,2,15.15,476.55
215,4944,1810,0,6.7,1908.6
216,3679,1965,0,9.53,2057.1
217,6382,84,1,15.19,2468.52
218,7175,393,1,29.73,2397.6
219,4019,1480,0,17.74,2578.5
220,364,1974,0,33.4,355.5
221,2103,401,2,28.28,2630.25
222,7240,359,1,26.37,3365.64
223,7602,1163,0,10.23,2679.9
224,5027,343,0,2.39,263.7
225,9554,1967,1,29.0,345.24
226,359,100,1,3.65,2008.08
227,2882,1189,2,30.08,2630.25
228,1777,720,2,24.94,3103.65
229,7144,196,2,20.56,2794.95
230,3352,475,2,2.82,4443.3
231,2690,818,0,6.34,2679.9
232,2524,1698,0,30.21,2962.2
233,1857,311,2,6.48,400.95
234,2697,1434,1,17.28,2553.48
235,865,417,0,15.04,2653.8
236,1395,1127,1,31.63,172.44
237,1308,1470,0,28.27,2578.5
238,3609,204,0,32.34,155.4
239,5457,1812,0,32.88,404.7
240,8852,328,0,2.54,155.4
241,7539,1074,1,11.65,3447.36
242,1855,1424,1,10.19,123.84
243,3556,293,0,12.41,2256.6
244,8418,618,0,8.89,2962.2
245,6433,607,2,12.28,400.95
246,1420,816,1,33.07,522.36
247,9637,1043,0,13.18,410.4
248,6282,1065,1,24.71,345.24
249,2122,382,2,25.91,400.95
250,7993,1744,2,11.81,3138.3
251,5293,975,1,34.74,522.36
252,746,503,1,24.33,123.84
253,7160,392,0,37.95,103.2
254,1548,200,1,12.24,381.24
255,8730,1971,1,17.42,320.76
256,576,1058,0,0.24,287.7
257,477,1374,1,20.79,167.04
258,9484,1078,1,21.52,485.64
259,198,504,1,20.89,426.6
260,6618,796,1,26.05,381.24
261,366,1130,1,39.05,230.04
262,4148,8,1,32.25,3911.04
263,5333,126,2,12.21,4888.8
264,4008,747,0,18.44,2059.2
265,5531,1970,2,1.09,3400.2
266,9635,1324,2,5.66,287.55
267,6473,1476,2,27.52,215.55
268,7936,248,0,14.31,363.6
269,7452,1257,0,18.4,410.4
270,4313,1017,2,38.42,615.6
271,8214,1941,1,11.42,2482.92
272,5007,1521,0,22.54,430.2
273,4649,1150,2,23.89,645.3
274,5544,1580,0,6.35,430.2
275,828,1416,2,19.26,2510.1
276,2641,631,2,0.74,3085.65
277,7486,348,0,13.74,2872.8
278,9685,1817,2,17.91,4019.85
279,6930,799,2,19.7,2997.0
280,5291,1001,1,2.69,3365.64
281,68,1509,0,2.46,221.1
282,3783,445,0,32.61,191.7
283,7056,605,2,32.52,652.95
284,2537,1978,0,23.19,331.5
285,5735,609,2,30.33,208.8
286,1902,1881,1,7.81,516.24
287,5967,81,0,28.28,1753.5
288,3732,431,2,39.96,116.55
289,1820,1217,1,5.62,230.04
290,2173,645,2,25.84,3400.2
291,1787,492,1,28.29,3911.04
292,71,1302,0,4.35,267.3
293,1588,1713,0,21.14,331.5
294,5525,8,2,17.16,4888.8
295,5538,1816,0,6.01,287.7
296,680,481,2,16.52,190.8
297,7288,1070,2,20.53,4207.05
298,2092,1074,0,3.45,2872.8
299,7227,1066,0,1.4,287.7
300,4026,1592,1,21.44,381.24
301,510,814,1,9.9,93.24
302,8856,898,1,19.17,2104.2
303,6719,1568,1,4.61,3215.88
304,4123,1316,0,26.88,267.3
305,2591,893,1,18.19,3184.56
306,79,166,2,33.9,3088.8
307,2910,1033,1,12.0,3447.36
308,9271,674,2,7.9,2510.1
309,9755,526,2,19.48,2510.1
310,9573,337,2,25.21,545.4
311,3472,867,2,39.37,2877.3
312,4200,1188,1,33.24,320.76
313,6183,1804,1,24.65,2397.6
314,4847,441,2,7.47,3400.2
315,2829,1299,1,34.96,172.44
316,1934,1555,0,0.55,404.7
317,2376,1795,2,24.87,3384.9
318,9574,1277,1,5.52,2468.52
319,6298,838,0,27.86,2919.0
320,7009,190,2,18.22,431.55
321,2693,925,2,26.37,2862.9
322,97,572,0,12.71,2092.2
323,8349,863,1,19.35,2290.32
324,8073,756,1,35.35,3911.04
325,2742,409,2,4.29,2794.95
326,909,1292,2,11.12,190.8
327,8023,1073,1,25.87,3184.56
328,2305,1604,0,11.7,279.9
329,5689,125,2,8.86,4019.85
330,3633,1560,0,26.75,1753.5
331,3563,269,2,39.26,593.1
332,5837,892,0,17.17,395.4
333,4909,456,0,22.67,410.4
334,7977,816,2,9.96,652.95
335,8657,457,0,21.6,3045.6
336,6742,306,2,23.48,2877.3
337,583,1245,2,5.03,3103.65
338,9510,1900,2,18.27,2510.1
339,7501,396,2,14.58,4568.4
340,8861,142,2,21.98,4378.5
341,1897,533,2,30.88,3085.65
342,2174,1206,1,0.08,167.04
343,8593,1318,2,19.64,208.8
344,8813,346,2,30.54,545.4
345,708,1026,2,7.52,3191.85
346,3380,140,2,13.61,2862.9
347,4623,235,2,30.33,419.85
348,276,1669,2,36.31,4019.85
349,5828,1710,1,34.8,492.48
350,772,1477,0,14.3,1998.0
351,8365,787,2,34.69,515.7
352,6855,1650,2,22.72,607.05
353,2534,719,1,28.73,516.24
354,1433,1092,1,0.28,265.32
355,5790,1629,1,7.9,426.6
356,6568,1284,2,23.11,545.4
357,9769,1662,0,30.28,2127.9
358,1861,803,2,35.63,154.8
359,5168,722,0,10.33,2057.1
360,5909,1855,2,22.57,3980.7
361,3929,961,0,31.13,287.7
362,1602,1137,0,20.3,1753.5
363,4738,1349,1,24.35,2471.04
364,1709,298,1,0.94,186.48
365,2789,1928,1,4.26,3911.04
366,6591,1216,0,29.61,127.2
367,3795,1006,2,3.77,2630.25
368,9572,1200,2,2.63,154.8
369,3132,1735,1,20.27,516.24
370,8368,1057,1,28.48,3502.8
371,3437,866,2,31.13,593.1
372,9463,1693,1,19.98,397.8
373,4949,489,0,39.29,1753.5
374,623,1066,1,7.37,345.24
375,6968,284,0,21.87,127.2
376,3048,605,2,10.93,652.95
377,4846,1914,1,23.42,522.36
378,1257,513,1,20.91,426.6
379,8329,152,1,18.39,381.24
380,1064,867,2,38.44,2877.3
381,5566,156,0,23.75,279.9
382,2510,938,0,29.2,355.5
383,2555,1869,0,11.43,1998.0
384,1597,1162,1,11.96,2468.52
385,9770,835,2,8.57,3980.7
386,4402,102,0,7.81,2872.8
387,8255,1260,0,0.16,1998.0
388,7776,1937,0,11.26,355.5
389,943,2,0,27.25,267.3
390,6097,746,0,1.6,331.5
391,6772,849,2,35.14,2997.0
392,9118,1580,2,20.09,645.3
393,1958,464,1,39.85,474.48
394,9490,1865,0,20.27,331.5
395,8959,1155,2,1.06,2630.25
396,4089,1392,2,5.79,652.95
397,7896,653,2,13.34,645.3
398,7732,671,0,36.47,435.3
399,1401,589,0,26.03,103.2
400,3417,1284,2,7.5,545.4
401,1053,1309,1,16.49,436.32
402,8703,1365,2,33.34,3980.7
403,5501,1555,2,17.76,607.05
404,4978,268,0,7.82,267.3
405,4910,1456,0,38.88,1673.4
406,3540,1944,1,20.07,2789.64
407,436,1790,1,3.81,3094.2
408,3052,1009,2,17.82,4378.5
409,8374,1120,2,14.1,3400.2
410,5210,1045,0,15.26,143.7
411,3019,611,1,28.72,2482.92
412,5683,1827,0,13.14,279.9
413,1656,292,1,19.3,2008.08
414,8352,120,0,8.75,2057.1
415,6128,667,0,18.72,2256.6
416,5803,1146,1,27.98,426.6
417,5204,376,2,0.99,190.8
418,641,1919,0,39.29,430.2
419,8723,1048,2,28.66,400.95
420,6819,931,0,23.07,279.9
421,4579,1356,1,19.5,123.84
422,2486,265,0,7.01,2578.5
423,10,1560,1,29.89,2104.2
424,5485,79,0,34.34,1908.6
425,5530,1853,0,11.71,410.4
426,3665,135,2,5.4,2997.0
427,3974,795,2,23.45,419.85
428,3441,218,1,11.04,2235.96
429,5188,708,1,21.72,152.64
430,6722,678,1,35.69,436.32
431,4436,402,1,14.67,123.84
432,7958,1163,1,28.6,3215.88
433,4710,788,2,23.29,3085.65
434,7878,1747,1,19.95,2510.64
435,974,1981,2,9.25,3487.05
436,4804,838,2,6.4,4378.5
437,4588,678,2,5.97,545.4
438,4568,13,1,25.38,2397.6
439,905,616,2,19.89,593.1
440,749,971,1,20.76,335.88
441,3564,1830,2,26.24,215.55
442,8839,1800,2,29.6,431.55
443,4238,1849,2,18.42,400.95
444,1926,380,2,13.08,233.1
445,9730,852,2,14.13,3085.65
446,9813,187,1,4.51,2468.52
447,9783,1887,0,11.41,2679.9
448,6333,1336,0,22.49,317.7
449,474,697,2,31.3,2630.25
450,3353,1876,1,14.23,93.24
451,6022,928,0,12.04,2872.8
452,7978,734,0,36.38,331.5
453,8227,1000,0,8.2,430.2
454,9618,897,1,15.02,492.48
455,8878,331,2,7.05,3085.65
456,5000,411,0,9.9,3045.6
457,6368,1708,1,20.39,3554.64
458,5837,990,0,32.2,404.7
459,8439,1509,0,6.5,221.1
460,3173,1090,2,8.35,593.1
461,2339,1686,1,8.43,485.64
462,3282,1534,1,18.24,123.84
463,3066,1306,0,31.32,435.3
464,1582,1287,0,28.87,1863.3
465,571,697,0,13.87,1753.5
466,3116,1436,0,24.31,404.7
467,1934,865,0,18.9,343.8
468,9019,864,2,26.88,652.95
469,1052,1335,0,19.63,191.7
470,2037,1089,2,36.12,497.25
471,6125,141,0,38.86,2578.5
472,6176,331,1,2.0,2468.52
473,7763,1016,2,19.31,4443.3
474,7039,1794,2,21.11,4207.05
475,1016,1313,0,13.68,2653.8
476,172,1404,1,4.47,2235.96
477,8033,698,2,3.14,3138.3
478,9383,1371,0,26.1,1998.0
479,2545,1414,2,32.89,3487.05
480,7397,1039,1,20.2,2104.2
481,2487,277,0,15.94,1918.2
482,4768,53,0,18.3,191.7
483,8872,1967,0,9.98,287.7
484,9454,53,0,12.31,191.7
485,7153,1267,2,10.94,476.55
486,2552,293,2,23.9,3384.9
487,3720,1279,1,22.51,2553.48
488,178,896,1,23.14,3654.72
489,2464,1642,2,39.22,545.4
490,3290,1629,1,30.39,426.6
491,3496,539,2,32.79,515.7
492,5158,1378,1,26.81,397.8
493,2518,1382,0,15.67,317.7
494,1628,1466,0,3.75,143.7
495,3867,615,2,20.32,645.3
496,8740,723,0,28.42,77.7
497,5636,1548,2,34.16,3088.8
498,9768,212,1,0.72,3215.88
499,6449,357,1,20.8,2235.96
500,3934,1440,0,26.77,1673.4
501,503,571,0,25.15,1673.4
502,7356,944,1,22.78,167.04
503,5016,1336,0,3.13,317.7
504,732,1192,0,35.11,127.2
505,8169,685,2,39.19,400.95
506,1344,83,1,13.19,2468.52
507,1196,1023,1,21.1,474.48
508,784,406,1,10.9,3365.64
509,3741,316,1,32.9,2471.04
510,2040,761,2,29.01,287.55
511,4585,1453,2,29.23,615.6
512,4032,507,0,36.14,3259.2
513,5415,226,0,37.4,2679.9
514,6050,428,1,25.27,3184.56
515,6171,902,2,0.08,652.95
516,3916,64,0,9.35,1908.6
517,7802,846,0,25.95,2578.5
518,8668,1993,2,17.01,395.55
519,1793,777,2,20.29,533.25
520,5519,1880,1,9.84,186.48
521,6009,706,1,18.59,316.44
522,2806,1734,1,30.4,2301.84
523,4426,1133,0,30.39,1673.4
524,697,1018,0,25.8,1908.6
525,8865,1181,0,20.76,279.9
526,5820,1567,0,14.87,279.9
527,7772,1912,0,27.33,1753.5
528,8180,617,0,7.9,2069.1
529,2156,214,0,9.23,3045.6
530,9949,1162,0,30.03,2057.1
531,1417,757,0,6.8,143.7
532,9335,1337,2,2.44,2997.0
533,4599,1422,2,19.42,4568.4
534,9998,1178,0,28.5,2092.2
535,3884,553,0,14.87,355.5
536,1515,1388,2,4.59,4309.2
537,4932,271,1,34.85,381.24
538,5815,19,0,1.88,2057.1
539,9270,739,2,13.07,190.8
540,9890,1838,1,35.63,2510.64
541,2503,466,1,14.06,172.44
542,1152,691,1,31.49,345.24
543,7494,1654,2,32.27,208.8
544,361,22,2,14.69,116.55
545,1282,225,0,1.65,2578.5
546,173,332,2,3.56,2794.95
547,8862,372,2,20.92,2510.1
548,6402,1828,0,38.54,1673.4
549,5379,1836,2,4.96,154.8
550,6850,13,0,38.25,1998.0
551,6856,1135,0,11.23,103.2
552,3570,752,1,30.92,167.04
553,4843,1214,1,3.2,2397.6
554,7530,704,1,14.6,2468.52
555,8994,1393,0,14.85,343.8
556,1880,1417,1,26.69,3447.36
557,5443,1887,2,24.73,4019.85
558,1175,1014,1,1.09,2720.16
559,4492,426,1,15.11,3365.64
560,3302,1191,0,29.99,363.6
561,3891,1411,0,2.23,1673.4
562,8906,661,0,12.49,1863.3
563,1766,659,0,21.19,2256.6
564,582,766,1,6.2,3554.64
565,661,46,0,26.66,2092.2
566,7805,418,1,27.6,412.56
567,459,1062,0,18.79,1998.0
568,5007,1175,1,26.9,3911.04
569,1979,750,0,8.74,77.7
570,4717,48,1,21.19,3911.04
571,6645,1325,1,24.76,522.36
572,6512,564,1,11.51,2707.92
573,6550,1566,0,22.52,2804.7
574,9067,1986,0,27.71,2092.2
575,9673,1358,1,27.73,335.88
576,2181,620,0,32.51,127.2
577,3936,1788,0,7.9,3259.2
578,9367,965,1,37.78,3554.64
579,8453,51,0,27.01,3045.6
580,1479,236,0,34.5,2962.2
581,8981,385,0,34.95,1998.0
582,2178,1948,2,19.61,2997.0
583,9795,1293,2,24.51,2862.9
584,3859,1954,0,14.87,267.3
585,9384,882,1,27.31,2008.08
586,9402,724,0,7.58,2919.0
587,2258,1363,0,34.13,395.4
588,7485,1576,1,32.46,93.24
589,1697,607,2,21.7,400.95
590,7239,597,1,21.22,3654.72
591,9353,1623,0,36.12,191.7
592,7329,1890,2,26.43,2877.3
593,3049,1062,0,9.73,1998.0
594,300,144,2,38.81,3384.9
595,4064,1474,0,19.45,1753.5
596,1131,574,1,25.29,426.6
597,1169,131,2,25.57,233.1
598,7548,1036,0,2.21,395.4
599,6071,1357,1,36.98,123.84
600,4814,483,2,12.73,2997.0
601,3019,583,1,27.8,492.48
602,9290,210,1,20.61,2235.96
603,1672,488,2,7.88,607.05
604,5408,1469,1,6.93,3502.8
605,3993,115,1,28.25,265.32
606,6194,863,2,36.87,2862.9
607,7824,282,2,13.36,593.1
608,6756,1158,2,18.75,395.55
609,1455,1186,2,3.06,431.55
610,5584,783,2,16.02,3085.65
611,267,1284,2,9.36,545.4
612,2265,614,2,8.53,593.1
613,8856,936,2,38.15,533.25
614,5057,156,2,25.37,419.85
615,6355,1271,1,34.92,3554.64
616,3738,386,0,11.58,2962.2
617,9655,37,2,38.75,419.85
618,6230,785,1,25.53,2707.92
619,5341,614,0,18.63,395.4
620,2517,1789,0,12.94,1998.0
621,6893,1807,1,5.53,2482.92
622,1163,673,1,15.03,335.88
623,1172,1921,1,11.47,397.8
624,284,289,1,30.31,345.24
625,8712,1710,1,26.16,492.48
626,3619,927,2,30.39,3138.3
627,3357,1777,0,34.25,1673.4
628,9428,432,0,31.88,191.7
629,2228,504,2,9.74,533.25
630,4687,1705,0,36.44,2919.0
631,6353,1146,2,17.93,533.25
632,5706,639,2,29.88,215.55
633,7820,626,1,31.63,397.8
634,4063,605,1,37.87,522.36
635,2092,1087,1,8.14,123.84
636,5262,1092,1,21.03,265.32
637,3262,833,2,17.73,593.1
638,164,302,1,8.57,2553.48
639,9979,1829,1,18.9,426.6
640,6027,1455,1,29.29,3184.56
641,9911,1763,1,7.99,2290.32
642,3193,667,2,21.04,3384.9
643,4564,443,0,36.82,1918.2
644,1385,818,1,37.93,3215.88
645,2779,800,2,34.23,208.8
646,3519,938,0,10.22,355.5
647,3196,1504,1,6.12,2471.04
648,8062,1959,2,8.13,607.05
649,9006,943,2,34.0,4888.8
650,8868,1159,2,15.09,215.55
651,5708,1291,2,34.56,287.55
652,6174,1505,0,15.27,355.5
653,1063,1236,2,23.01,287.55
654,9631,459,0,0.33,143.7
655,9767,433,0,0.85,143.7
656,711,231,2,16.9,2997.0
657,2886,607,2,13.92,400.95
658,8940,760,1,10.82,2471.04
659,7078,1587,0,26.55,155.4
660,734,1404,2,29.6,2794.95
661,7618,239,0,31.14,2256.6
662,4621,927,0,6.28,2092.2
663,2508,1761,0,39.8,1753.5
664,8476,785,0,20.84,2256.6
665,7680,506,2,38.91,154.8
666,8435,518,1,30.52,2720.16
667,1998,783,2,26.58,3085.65
668,5544,1566,2,22.31,4207.05
669,6522,449,0,11.43,2962.2
670,9197,143,2,3.97,3867.75
671,3760,135,1,3.07,2397.6
672,8793,83,0,5.77,2057.1
673,2810,1368,0,9.48,2804.7
674,1320,426,2,22.87,4207.05
675,830,696,2,18.07,208.8
676,2357,61,0,5.5,317.7
677,8159,916,0,30.53,331.5
678,6020,132,1,31.26,516.24
679,6863,703,2,4.14,2794.95
680,9775,1269,0,26.33,2578.5
681,9972,1324,1,4.09,230.04
682,8101,1282,2,29.26,4378.5
683,5165,1689,0,37.69,2059.2
684,3705,614,2,7.72,593.1
685,6063,748,0,29.12,279.9
686,7869,489,2,29.35,2630.25
687,4237,1993,2,2.28,395.55
688,2646,1528,1,16.97,186.48
689,412,1998,2,30.96,4019.85
690,1176,573,2,25.77,615.6
691,8979,278,2,3.1,3384.9
692,8099,544,0,24.29,1908.6
693,4196,1759,0,11.06,2804.7
694,7398,127,0,0.08,2059.2
695,2062,1993,2,11.85,395.55
696,5530,109,0,25.27,155.4
697,4369,140,0,9.22,1908.6
698,3285,1152,2,28.05,515.7
699,1394,90,1,2.56,2235.96
700,7328,1760,2,33.27,607.05
701,1820,101,0,10.57,363.6
702,8624,1346,2,29.36,3867.75
703,3546,268,2,4.99,400.95
704,2798,164,2,25.9,400.95
705,6905,1401,0,3.7,331.5
706,7939,1074,0,30.06,2872.8
707,4388,928,1,28.12,3447.36
708,5908,1224,0,20.3,2962.2
709,738,220,0,25.95,2324.7
710,286,337,0,6.5,363.6
711,1407,771,2,6.69,2862.9
712,4611,1832,1,33.72,2789.64
713,1905,779,1,9.68,2471.04
714,5782,1255,0,10.07,2059.2
715,6852,1341,0,25.07,2679.9
716,2856,1837,1,18.02,3554.64
717,5989,1556,2,15.74,3980.7
718,6213,1753,0,33.18,3045.6
719,6737,329,1,15.7,172.44
720,4058,1406,0,28.05,410.4
721,4317,766,1,0.97,3554.64
722,7791,1827,0,17.62,279.9
723,6243,1095,1,5.19,485.64
724,91,977,1,8.68,3554.64
725,9064,98,0,31.8,3045.6
726,2714,1373,0,11.83,103.2
727,5275,1764,1,22.34,2471.04
728,2322,380,2,27.62,233.1
729,7226,1932,0,33.58,1673.4
730,6105,806,2,26.39,4207.05
731,534,1059,0,26.92,2653.8
732,8338,762,0,6.25,2324.7
733,2641,54,2,22.84,4443.3
734,3653,439,1,29.61,3447.36
735,2027,471,1,27.54,436.32
736,3197,845,1,5.96,345.24
737,8625,1381,0,25.15,404.7
738,1461,993,2,16.85,497.25
739,8338,226,0,20.26,2679.9
740,9855,253,2,28.12,233.1
741,393,1,0,21.28,155.4
742,3158,836,2,18.72,116.55
743,7801,1426,2,20.47,2630.25
744,4268,697,0,1.77,1753.5
745,2128,1343,0,28.63,1863.3
746,4552,1280,1,23.45,2301.84
747,991,1125,0,0.15,2679.9
748,1451,1322,1,10.85,381.24
749,4632,1868,1,21.33,426.6
750,487,1608,0,9.85,2872.8
751,8472,506,0,35.51,103.2
752,2709,856,0,3.72,287.7
753,4632,214,1,14.5,3654.72
754,3270,1455,0,20.35,2653.8
755,5836,1565,1,34.13,172.44
756,931,787,2,27.43,515.7
757,3254,5,1,38.99,412.56
758,3039,1595,2,32.72,4443.3
759,908,1434,2,3.59,3191.85
760,8863,1338,0,3.09,410.4
761,8271,339,2,1.8,497.25
762,3379,1909,0,14.15,103.2
763,8390,469,1,20.83,123.84
764,9019,1921,0,36.55,331.5
765,1163,1173,0,21.72,2962.2
766,6978,1531,1,31.21,2104.2
767,9151,1734,2,8.98,2877.3
768,4602,1134,1,15.97,2789.64
769,3710,534,2,32.81,190.8
770,9942,66,1,15.43,2008.08
771,1289,470,0,21.94,279.9
772,7899,75,1,39.01,2468.52
773,3916,1077,1,24.28,3447.36
774,6791,175,2,37.05,3384.9
775,9743,877,1,9.96,3094.2
776,2271,977,2,25.58,4443.3
777,2757,1401,1,37.31,397.8
778,9384,1722,0,21.8,410.4
779,7067,1508,0,11.75,1753.5
